LSOA11CD,LSOA21CD,CHGIND
E01031432,E01031432,U
E01031435,E01031435,U
E01031436,E01031436,U
E01031437,E01031437,U
E01031453,E01031453,U
E01031380,E01031380,U
E01031381,E01031381,U
E01031382,E01031382,U
E01031383,E01031383,U
E01031384,E01031384,U
E01031385,E01031385,U
E01031445,E01031445,U
E01031446,E01031446,U
E01031447,E01031447,U
E01031448,E01031448,U
E01031449,E01031449,U
E01027979,E01027979,U
E01027980,E01027980,U
E01027981,E01027981,U
E01027983,E01027983,U
E01027970,E01027970,U
E01027971,E01027971,U
E01027982,E01027982,U
E01027984,E01027984,U
E01027966,E01027966,U
E01027986,E01027986,U
E01027987,E01027987,U
E01027990,E01027990,U
E01027967,E01027967,U
E01027972,E01027972,U
E01027977,E01027977,U
E01027978,E01027978,U
E01027985,E01027985,U
E01027964,E01027964,U
E01027965,E01027965,U
E01027968,E01027968,U
E01031468,E01034816,S
E01031468,E01034818,S
E01031388,E01034820,S
E01031388,E01034821,S
E01031389,E01031389,U
E01031414,E01031414,U
E01031415,E01031415,U
E01031459,E01031459,U
E01031470,E01031470,U
E01031471,E01031471,U
E01031472,E01031472,U
E01031473,E01031473,U
E01031407,E01031407,U
E01031408,E01031408,U
E01031410,E01031410,U
E01031462,E01031462,U
E01031463,E01031463,U
E01031464,E01031464,U
E01031412,E01031412,U
E01031422,E01031422,U
E01031423,E01031423,U
E01031424,E01031424,U
E01031398,E01031398,U
E01031399,E01031399,U
E01031409,E01031409,U
E01031455,E01031455,U
E01031461,E01031461,U
E01031469,E01031469,U
E01031411,E01031411,U
E01031413,E01031413,U
E01031457,E01031457,U
E01031458,E01031458,U
E01031460,E01031460,U
E01031400,E01031400,U
E01031428,E01031428,U
E01031454,E01031454,U
E01031456,E01031456,U
E01031401,E01034822,S
E01031401,E01034823,S
E01031402,E01031402,U
E01031403,E01031403,U
E01031405,E01031405,U
E01031406,E01031406,U
E01031417,E01031417,U
E01031438,E01031438,U
E01031439,E01031439,U
E01031440,E01031440,U
E01031404,E01031404,U
E01031433,E01031433,U
E01031434,E01031434,U
E01019419,E01019419,U
E01019410,E01019410,U
E01019411,E01019411,U
E01019418,E01019418,U
E01019447,E01019447,U
E01019449,E01019449,U
E01019431,E01019431,U
E01019433,E01019433,U
E01019438,E01019438,U
E01019451,E01019451,U
E01019464,E01019464,U
E01019434,E01019434,U
E01019435,E01019435,U
E01019436,E01019436,U
E01019439,E01019439,U
E01019440,E01019440,U
E01019446,E01019446,U
E01019448,E01019448,U
E01019450,E01019450,U
E01019465,E01019465,U
E01019467,E01019467,U
E01019425,E01019425,U
E01019426,E01019426,U
E01019427,E01019427,U
E01019472,E01034254,S
E01019472,E01034255,S
E01019437,E01019437,U
E01019441,E01019441,U
E01019452,E01019452,U
E01019453,E01019453,U
E01032613,E01032613,U
E01031390,E01031390,U
E01031391,E01031391,U
E01031392,E01031392,U
E01031465,E01031465,U
E01031386,E01031386,U
E01031387,E01031387,U
E01031425,E01031425,U
E01031426,E01031426,U
