LSOA11CD,pct_bad_health_2011,pct_bad_health_2021
E01000248,4.214,4.874
E01000249,2.492,2.547
E01000250,3.719,4.101
E01000251,6.555,5.261
E01000252,3.978,4.606
E01000253,6.268,3.735
E01000254,3.744,3.442
E01000255,5.267,5.65
E01000256,3.076,2.125
E01000257,5.93,6.654
E01000258,4.524,5.55
E01000259,3.851,3.976
E01000260,3.835,3.232
E01000261,4.31,2.94
E01000262,3.274,2.613
E01000263,1.898,1.77
E01000264,4.43,3.127
E01000265,4.67,4.318
E01000266,3.012,2.298
E01000267,3.355,3.667
E01000268,4.543,3.373
E01000269,4.351,3.893
E01000270,4.318,3.107
E01000271,4.221,3.785
E01000272,5.97,3.434
E01000273,6.184,4.973
E01000274,5.532,4.545
E01000275,6.659,3.046
E01000276,2.237,2.599
E01000277,5.72,4.724
E01000278,2.972,2.026
E01000279,2.968,2.637
E01000280,2.824,3.139
E01000281,4.127,3.468
E01000282,4.047,3.538
E01000283,2.448,2.336
E01000284,4.964,4.765
E01000285,4.693,3.966
E01000286,6.365,7.105
E01000287,5.601,6.254
E01000288,4.525,2.905
E01000289,5.779,6.827
E01000290,7.258,5.367
E01000291,6.349,7.308
E01000292,4.158,3.886
E01000293,3.775,2.765
E01000294,7.067,5.356
E01000295,3.967,3.158
E01000296,3.925,3.025
E01000297,3.975,3.451
E01000298,4.912,3.503
E01000299,4.146,4.461
E01000300,4.289,3.479
E01000301,4.094,2.273
E01000302,5.842,5.117
E01000303,4.148,2.931
E01000304,2.699,3.789
E01000305,5.794,5.484
E01000306,4.717,3.352
E01000307,5.438,4.97
E01000308,8.707,4.076
E01000309,3.732,2.925
E01000310,5.471,5.743
E01000311,1.9,1.75
E01000312,6.16,5.317
E01000313,4.575,4.892
E01000314,3.646,2.862
E01000315,8.571,7.181
E01000316,5.58,4.724
E01000317,5.642,4.614
E01000318,4.728,5.096
E01000319,4.133,3.205
E01000320,4.0,3.826
E01000321,5.199,4.029
E01000322,5.475,5.645
E01000323,4.591,5.199
E01000324,4.199,3.659
E01000325,2.919,2.369
E01000326,3.089,3.114
E01000327,3.694,3.317
E01000328,4.189,5.009
E01000329,4.635,4.543
E01000330,6.153,5.368
E01000331,6.503,6.986
E01000332,5.952,5.21
E01000333,7.263,5.164
E01000334,4.159,4.478
E01000335,5.741,3.558
E01000336,6.363,6.056
E01000337,3.085,3.627
E01000338,4.283,3.292
E01000339,5.621,5.374
E01000340,6.059,4.167
E01000341,3.624,5.57
E01000342,3.386,3.346
E01000343,3.062,2.916
E01000344,4.226,4.774
E01000345,3.1,2.685
E01000346,4.192,3.275
E01000347,4.374,4.142
E01000348,3.376,2.445
E01000349,4.521,4.237
E01000350,3.797,2.826
E01000351,3.72,4.529
E01000352,4.254,4.136
E01000353,4.389,4.154
E01000354,4.983,5.567
E01000355,5.806,4.58
E01000356,6.404,4.783
E01000357,2.402,2.141
E01000358,3.98,2.955
E01000359,2.734,3.721
E01000360,4.994,2.883
E01000361,2.857,3.585
E01000362,3.779,4.726
E01000363,3.609,3.784
E01000364,4.312,4.24
E01000365,5.483,4.345
E01000366,3.849,2.746
E01000367,7.746,4.766
E01000368,6.433,5.952
E01000369,5.13,5.038
E01000370,5.072,4.429
E01000371,4.078,3.395
E01000372,8.75,6.505
E01000373,4.511,3.698
E01000374,6.849,6.274
E01000375,5.149,3.618
E01000376,4.413,3.344
E01000377,4.014,4.274
E01000378,5.846,5.14
E01000379,5.595,5.432
E01000380,6.117,6.509
E01000381,6.633,6.803
E01000382,4.199,3.88
E01000383,5.581,4.959
E01000384,4.704,3.958
E01000385,7.342,6.378
E01000386,9.334,10.28
E01000387,3.974,4.805
E01000388,4.964,3.836
E01000389,3.942,4.706
E01000390,5.039,3.453
E01000391,3.394,3.661
E01000392,5.043,3.526
E01000393,4.617,2.773
E01000394,5.281,6.4
E01000395,3.361,2.812
E01000396,4.146,2.686
E01000398,6.129,5.901
E01000399,4.826,3.501
E01000400,4.396,3.244
E01000401,7.832,7.446
E01000402,5.859,5.362
E01000403,6.736,6.284
E01000404,3.939,3.838
E01000405,4.326,3.49
E01000406,4.063,2.986
E01000407,7.635,5.083
E01000408,4.768,4.622
E01000409,2.608,2.47
E01000410,3.827,2.173
E01000411,3.219,4.016
E01000412,3.754,3.114
E01000413,2.921,3.341
E01000414,5.094,3.96
E01000415,3.672,3.686
E01000416,4.783,3.679
E01000417,6.284,4.888
E01000418,5.369,3.184
E01000419,4.586,5.151
E01000420,4.32,4.205
E01000421,6.478,3.748
E01000422,6.42,4.111
E01000423,3.846,3.485
E01000424,4.607,5.501
E01000425,5.708,3.944
E01000426,3.642,3.591
E01000427,5.331,4.525
E01000428,7.078,6.309
E01000429,4.393,5.198
E01000430,4.321,3.512
E01000431,5.682,5.917
E01000432,6.575,4.428
E01000433,5.856,5.365
E01000434,7.071,6.905
E01000435,6.757,5.037
E01000436,4.214,2.617
E01000437,4.614,2.838
E01000438,4.003,3.495
E01000439,4.094,4.143
E01000440,3.68,3.755
E01000441,5.569,4.994
E01000442,5.456,4.765
E01000443,5.878,6.015
E01000444,3.91,2.375
E01000445,3.961,3.721
E01000446,3.372,2.724
E01000447,4.039,4.441
E01000448,2.397,3.044
E01000449,4.214,4.417
E01000450,5.349,3.776
E01000451,3.414,2.457
E01000452,2.591,3.099
E01000453,2.582,2.772
E01000454,6.17,5.515
E01000455,4.399,2.956
E01000456,3.784,3.654
E01000457,4.992,5.195
E01000458,3.83,4.286
E01000459,5.513,4.861
E01000460,2.069,2.379
E01000461,3.008,3.354
E01000462,9.738,6.426
E01000463,2.711,2.478
E01000464,6.306,5.468
E01000465,7.263,7.383
E01000466,4.894,4.437
E01000467,3.672,5.006
E01000468,2.718,2.899
E01000469,4.776,3.51
E01000470,5.336,5.5
E01000471,4.457,3.542
E01000472,4.086,3.245
E01000473,4.673,3.512
E01000474,4.302,3.037
E01000475,4.808,3.391
E01000476,3.708,3.962
E01000477,4.071,2.778
E01000478,4.692,2.689
E01000479,4.521,3.638
E01000480,3.831,3.555
E01000481,5.527,4.22
E01000482,6.237,6.296
E01000483,7.45,5.879
E01000484,8.306,8.045
E01000485,6.691,5.93
E01000486,4.172,3.18
E01000487,5.238,5.083
E01000488,4.569,3.277
E01000489,6.452,6.705
E01000490,5.23,4.797
E01000491,5.11,4.211
E01000492,5.399,3.689
E01000493,5.131,3.759
E01000494,6.157,5.042
E01000495,9.339,6.788
E01000497,5.239,4.3
E01000498,4.464,4.276
E01000499,6.062,4.958
E01000501,7.577,4.776
E01000502,3.302,3.834
E01000503,5.437,5.158
E01000504,5.37,3.558
E01000505,4.518,4.952
E01000506,5.745,5.069
E01000507,4.774,4.267
E01000508,6.833,5.356
E01000509,6.332,5.702
E01000510,4.184,5.323
E01000511,4.85,3.894
E01000512,3.819,4.108
E01000513,6.32,5.781
E01000514,2.579,3.25
E01000515,5.582,4.907
E01000516,4.452,3.028
E01000517,4.04,3.204
E01000518,5.897,6.423
E01000519,4.888,4.57
E01000520,5.254,5.903
E01000521,8.169,7.648
E01000522,6.344,5.176
E01000523,5.096,4.83
E01000524,5.648,4.911
E01000525,6.495,4.968
E01000526,8.337,8.026
E01000527,6.061,5.804
E01000528,6.765,5.684
E01000530,4.331,3.462
E01000531,6.259,7.226
E01000532,5.767,4.573
E01000533,6.552,6.486
E01000534,4.451,3.373
E01000535,5.346,3.899
E01000536,3.751,4.036
E01000538,3.413,2.899
E01000539,4.932,4.56
E01000540,4.011,3.571
E01000541,4.481,4.471
E01000543,5.263,3.501
E01000544,6.809,4.912
E01000545,4.975,3.592
E01000546,5.046,4.565
E01000547,5.169,4.834
E01000548,5.822,4.892
E01000549,3.822,3.363
E01000550,7.681,6.924
E01000551,7.494,6.082
E01000552,9.631,4.696
E01000553,5.143,4.848
E01000554,5.223,4.569
E01000555,5.544,3.657
E01000556,4.441,3.303
E01000557,4.782,4.67
E01000558,4.841,4.889
E01000559,4.735,7.687
E01000560,3.649,3.585
E01000561,4.931,3.872
E01000562,3.618,3.777
E01000563,4.595,3.218
E01000564,2.93,2.894
E01000565,4.956,5.088
E01000566,5.147,3.548
E01000567,6.014,4.137
E01000568,2.788,2.527
E01000569,2.812,3.711
E01000570,5.763,4.522
E01000571,4.862,4.259
E01000572,2.971,3.138
E01000573,4.323,2.334
E01000574,3.395,3.323
E01000575,4.528,2.507
E01000576,3.193,3.682
E01000577,5.165,4.952
E01000578,6.974,8.942
E01000579,4.985,3.526
E01000580,4.394,3.452
